2013-04-27 22:43:52 install liblzma2 <none> 5.0.0-2
2013-04-27 22:43:52 status half-installed liblzma2 5.0.0-2
2013-04-27 22:43:52 status unpacked liblzma2 5.0.0-2
2013-04-27 22:43:52 status unpacked liblzma2 5.0.0-2
2013-04-27 22:43:53 install xz-utils <none> 5.0.0-2
2013-04-27 22:43:53 status half-installed xz-utils 5.0.0-2
2013-04-27 22:43:53 status unpacked xz-utils 5.0.0-2
2013-04-27 22:43:53 status unpacked xz-utils 5.0.0-2
2013-04-27 22:43:53 install zlib1g <none> 1:1.2.3.4.dfsg-3
2013-04-27 22:43:53 status half-installed zlib1g 1:1.2.3.4.dfsg-3
2013-04-27 22:43:53 status unpacked zlib1g 1:1.2.3.4.dfsg-3
2013-04-27 22:43:53 status unpacked zlib1g 1:1.2.3.4.dfsg-3
2013-04-27 22:43:54 startup packages configure
2013-04-27 22:43:54 configure ncurses-base 5.7+20100313-5 5.7+20100313-5
2013-04-27 22:43:54 status unpacked ncurses-base 5.7+20100313-5
2013-04-27 22:43:54 status unpacked ncurses-base 5.7+20100313-5
2013-04-27 22:43:54 status half-configured ncurses-base 5.7+20100313-5
2013-04-27 22:43:54 status installed ncurses-base 5.7+20100313-5
2013-04-27 22:43:54 configure sensible-utils 0.0.4 0.0.4
2013-04-27 22:43:54 status unpacked sensible-utils 0.0.4
2013-04-27 22:43:54 status half-configured sensible-utils 0.0.4
2013-04-27 22:43:54 status installed sensible-utils 0.0.4
2013-04-27 22:43:54 configure libc-bin 2.11.3-4 2.11.3-4
2013-04-27 22:43:54 status unpacked libc-bin 2.11.3-4
2013-04-27 22:43:54 status unpacked libc-bin 2.11.3-4
2013-04-27 22:43:54 status unpacked libc-bin 2.11.3-4
2013-04-27 22:43:54 status unpacked libc-bin 2.11.3-4
2013-04-27 22:43:54 status half-configured libc-bin 2.11.3-4
2013-04-27 22:43:54 status installed libc-bin 2.11.3-4
2013-04-27 22:43:54 configure gcc-4.4-base 4.4.5-8 4.4.5-8
2013-04-27 22:43:54 status unpacked gcc-4.4-base 4.4.5-8
2013-04-27 22:43:54 status half-configured gcc-4.4-base 4.4.5-8
2013-04-27 22:43:54 status installed gcc-4.4-base 4.4.5-8
2013-04-27 22:43:54 configure libc6 2.11.3-4 2.11.3-4
2013-04-27 22:43:54 status unpacked libc6 2.11.3-4
2013-04-27 22:43:55 status unpacked libc6 2.11.3-4
2013-04-27 22:43:55 status half-configured libc6 2.11.3-4
2013-04-27 22:43:56 status installed libc6 2.11.3-4
2013-04-27 22:43:56 configure debianutils 3.4 3.4
2013-04-27 22:43:56 status unpacked debianutils 3.4
2013-04-27 22:43:56 status half-configured debianutils 3.4
2013-04-27 22:43:56 status installed debianutils 3.4
2013-04-27 22:43:56 configure bsdutils 1:2.17.2-9 1:2.17.2-9
2013-04-27 22:43:56 status unpacked bsdutils 1:2.17.2-9
2013-04-27 22:43:56 status half-configured bsdutils 1:2.17.2-9
2013-04-27 22:43:56 status installed bsdutils 1:2.17.2-9
2013-04-27 22:43:56 configure libsepol1 2.0.41-1 2.0.41-1
2013-04-27 22:43:56 status unpacked libsepol1 2.0.41-1
2013-04-27 22:43:56 status half-configured libsepol1 2.0.41-1
2013-04-27 22:43:56 status installed libsepol1 2.0.41-1
2013-04-27 22:43:57 configure diffutils 1:3.0-1 1:3.0-1
2013-04-27 22:43:57 status unpacked diffutils 1:3.0-1
2013-04-27 22:43:57 status half-configured diffutils 1:3.0-1
2013-04-27 22:43:57 status installed diffutils 1:3.0-1
2013-04-27 22:43:57 configure tar 1.23-3 1.23-3
2013-04-27 22:43:57 status unpacked tar 1.23-3
2013-04-27 22:43:57 status unpacked tar 1.23-3
2013-04-27 22:43:57 status half-configured tar 1.23-3
2013-04-27 22:43:57 status installed tar 1.23-3
2013-04-27 22:43:57 configure zlib1g 1:1.2.3.4.dfsg-3 1:1.2.3.4.dfsg-3
2013-04-27 22:43:57 status unpacked zlib1g 1:1.2.3.4.dfsg-3
2013-04-27 22:43:57 status half-configured zlib1g 1:1.2.3.4.dfsg-3
2013-04-27 22:43:57 status installed zlib1g 1:1.2.3.4.dfsg-3
2013-04-27 22:43:57 configure libgcc1 1:4.4.5-8 1:4.4.5-8
2013-04-27 22:43:57 status unpacked libgcc1 1:4.4.5-8
2013-04-27 22:43:57 status half-configured libgcc1 1:4.4.5-8
2013-04-27 22:43:57 status installed libgcc1 1:4.4.5-8
2013-04-27 22:43:57 configure libncurses5 5.7+20100313-5 5.7+20100313-5
2013-04-27 22:43:57 status unpacked libncurses5 5.7+20100313-5
2013-04-27 22:43:57 status half-configured libncurses5 5.7+20100313-5
2013-04-27 22:43:57 status installed libncurses5 5.7+20100313-5
2013-04-27 22:43:58 configure libattr1 1:2.4.44-2 1:2.4.44-2
2013-04-27 22:43:58 status unpacked libattr1 1:2.4.44-2
2013-04-27 22:43:58 status half-configured libattr1 1:2.4.44-2
2013-04-27 22:43:58 status installed libattr1 1:2.4.44-2
2013-04-27 22:43:58 configure e2fslibs 1.41.12-4stable1 1.41.12-4stable1
2013-04-27 22:43:58 status unpacked e2fslibs 1.41.12-4stable1
2013-04-27 22:43:58 status half-configured e2fslibs 1.41.12-4stable1
2013-04-27 22:43:58 status installed e2fslibs 1.41.12-4stable1
2013-04-27 22:43:58 configure base-passwd 3.5.22 3.5.22
2013-04-27 22:43:58 status unpacked base-passwd 3.5.22
2013-04-27 22:43:58 status half-configured base-passwd 3.5.22
2013-04-27 22:43:58 status installed base-passwd 3.5.22
